row_type,played_note,played_midi,played_freq,band_index,band_center_freq,band_fmin,band_fmax,scan_direction,candidate_f0,candidate_note,pitchyinfft_score,candidate_in_band,delta_cents_vs_played,fft_band_f0,fft_band_note,fft_band_score,fft_band_selected,hps_f0,hps_note,hps_score,hps_multi_note,candidate_fft_local_f0,candidate_fft_local_note,candidate_fft_local_score,candidate_hps_local_f0,candidate_hps_local_note,candidate_hps_local_score,candidate_hps_band_note,candidate_hps_agreement,candidate_final_score,refine_selected,refined_from_note,refined_from_f0,refined_f0,refined_note,refined_score,refined_delta_cents,chosen_note,chosen_f0,chosen_score,chosen_method,chosen_note_2,chosen_f0_2,chosen_score_2,chosen_method_2,chosen_note_3,chosen_f0_3,chosen_score_3,chosen_method_3,chosen_note_4,chosen_f0_4,chosen_score_4,chosen_method_4,candidate_top_notes
summary,D4,62,293.6647679174076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,E♭4,63,311.1269837220809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,E4,64,329.6275569128699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F4,65,349.2282314330039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F♯4,66,369.9944227116344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G4,67,391.99543598174927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G♯4,68,415.3046975799451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G♯4,68,415.3046975799451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,A4,69,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B♭4,70,466.1637615180899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B4,71,493.8833012561241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,C5,72,523.2511306011972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,C♯5,73,554.3652619537442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,D5,74,587.3295358348151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,E♭5,75,622.2539674441618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,E5,76,659.2551138257398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F5,77,698.4564628660078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F♯5,78,739.9888454232688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G5,79,783.9908719634985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G♯5,80,830.6093951598903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
